Date,Min,Avg,Max
2021-07-29,75.0,77.88,80.0
2021-07-15,75.0,77.88,80.0
2021-07-08,75.0,77.88,80.0
2021-07-01,75.0,77.88,80.0
2021-06-24,75.0,77.88,80.0
2021-06-17,75.0,77.88,80.0
2021-06-10,75.0,77.88,80.0
2021-06-03,75.0,77.88,80.0
2021-05-27,75.0,77.88,80.0
2021-05-20,75.0,77.88,80.0
2021-05-06,75.0,77.88,80.0
2021-04-29,75.0,77.88,80.0
2021-04-22,75.0,77.88,80.0
2021-04-15,75.0,77.88,80.0
2021-04-08,75.0,77.88,80.0
2021-04-01,75.0,77.88,80.0
2021-03-25,75.0,77.88,80.0
2021-03-18,75.0,77.88,80.0
2021-03-11,75.0,77.88,80.0
2021-03-04,75.0,77.88,80.0
2021-02-25,75.0,77.88,80.0
2021-02-18,75.0,77.88,80.0
2021-02-11,75.0,77.88,80.0
2021-02-04,75.0,77.88,80.0
2021-01-28,75.0,77.88,80.0
2021-01-21,75.0,77.88,80.0
2021-01-14,75.0,77.88,80.0
2021-01-07,75.0,77.88,80.0
2020-12-31,75.0,77.88,80.0
2020-12-24,75.0,77.88,80.0
2020-12-17,75.0,77.88,80.0
2020-12-10,75.0,77.88,80.0
2020-12-03,75.0,77.88,80.0
2020-11-26,75.0,76.22,80.0
2020-11-19,75.0,76.22,80.0
2020-11-12,75.0,76.22,80.0
2020-11-05,75.0,76.22,80.0
2020-10-29,75.0,76.22,80.0
2020-10-22,75.0,76.22,80.0
2020-10-15,75.0,76.22,80.0
2020-10-08,70.0,71.63,75.0
2020-10-01,70.0,71.63,75.0
2020-09-24,70.0,71.63,75.0
2020-09-17,70.0,71.63,75.0
2020-09-10,70.0,71.63,75.0
2020-09-03,70.0,71.63,75.0
2020-08-27,70.0,71.63,75.0
2020-08-20,70.0,71.63,75.0
2020-08-13,70.0,71.63,75.0
2020-08-06,70.0,71.63,75.0
2020-07-29,70.0,71.63,75.0
2020-07-23,70.0,71.63,75.0
2020-07-16,70.0,71.63,75.0
2020-07-09,70.0,71.63,75.0
2020-07-02,75.0,76.22,80.0
2020-06-25,75.0,76.22,80.0
2020-06-18,75.0,76.22,80.0
2020-06-11,75.0,76.22,80.0
2020-06-04,75.0,76.22,80.0
2020-05-28,75.0,76.22,80.0
2020-05-21,75.0,76.22,80.0
2020-05-14,75.0,76.22,80.0
2020-05-07,75.0,76.22,80.0
2020-04-30,75.0,76.22,80.0
2020-04-23,75.0,76.22,80.0
2020-04-16,75.0,76.22,80.0
2020-04-09,60.0,60.0,60.0
2020-04-02,60.0,60.0,60.0
2020-03-26,60.0,60.0,60.0
2020-03-19,60.0,60.0,60.0
2020-03-12,55.0,56.62,60.0
2020-03-05,55.0,56.62,60.0
2020-02-27,55.0,56.62,60.0
2020-02-20,55.0,56.62,60.0
2020-02-13,55.0,56.62,60.0
2020-02-06,55.0,56.62,60.0
2020-01-30,55.0,56.62,60.0
2020-01-23,55.0,56.62,60.0
2020-01-16,55.0,56.62,60.0
2020-01-09,55.0,56.62,60.0
2020-01-02,55.0,56.62,60.0
2019-12-26,55.0,56.62,60.0
2019-12-19,55.0,56.62,60.0
2019-12-12,55.0,56.62,60.0
2019-12-05,55.0,56.62,60.0
2019-11-28,55.0,56.62,60.0
2019-11-21,55.0,56.62,60.0
2019-11-14,55.0,56.62,60.0
2019-11-07,55.0,56.62,60.0
2019-10-31,55.0,56.62,60.0
2019-10-24,55.0,56.62,60.0
2019-10-17,55.0,56.62,60.0
2019-10-10,55.0,56.62,60.0
2019-10-03,55.0,56.62,60.0
2019-09-26,55.0,56.62,60.0
2019-09-19,55.0,56.62,60.0
2019-09-12,55.0,56.62,60.0
2019-09-05,55.0,56.62,60.0
2021-08-06,75.0,77.88,80.0
