Date,Min,Avg,Max
9/5/2019,2,2,2
9/12/2019,2,2,2
9/19/2019,2,2,2
9/26/2019,2,2,2
10/3/2019,2,2,2
10/10/2019,2,2,2
10/17/2019,2,2,2
10/24/2019,2,2,2
10/31/2019,2,2,2
11/7/2019,2,2,2
11/14/2019,2,2,2
11/21/2019,2,2,2
11/28/2019,2,2,2
12/5/2019,2,2,2
12/12/2019,2,2,2
12/19/2019,2,2,2
12/26/2019,2,2,2
1/2/2020,2,2,2
1/9/2020,2,2,2
1/16/2020,2,2,2
1/23/2020,2,2,2
1/30/2020,2,2,2
2/6/2020,2,2,2
2/13/2020,2,2,2
2/20/2020,2,2,2
2/27/2020,2,2,2
3/5/2020,2,2,2
3/12/2020,2,2,2
3/19/2020,2,2,2
3/26/2020,2,2,2
4/2/2020,2,2,2
4/9/2020,2,2,2
4/16/2020,2,2,2
4/23/2020,2,2,2
4/30/2020,2,2,2
5/7/2020,2,2,2
5/14/2020,2,2,2
5/21/2020,2,2,2
5/28/2020,2,2,2
6/4/2020,2,2,2
6/11/2020,2,2,2
6/18/2020,2,2,2
6/25/2020,2,2,2
7/2/2020,2,2,2
7/9/2020,2,2,2
7/16/2020,2,2,2
7/23/2020,2,2,2
7/29/2020,3,3,3
8/6/2020,3,3,3
8/13/2020,3,3,3
8/20/2020,3,3,3
8/27/2020,3,3,3
9/3/2020,3,3,3
9/10/2020,3,3,3
9/17/2020,3,3,3
9/24/2020,3,3,3
10/1/2020,3,3,3
10/8/2020,3,3,3
10/15/2020,3,3,3
10/22/2020,3,3,3
10/29/2020,3,3,3
11/5/2020,3,3,3
11/12/2020,3,3,3
11/19/2020,3,3,3
11/26/2020,3,3,3
12/3/2020,3,3,3
12/10/2020,3,3,3
12/17/2020,3,3,3
12/24/2020,3,3,3
12/31/2020,3,3,3
1/7/2021,3,3,3
1/14/2021,4,4,4
1/21/2021,4,4,4
1/28/2021,4,4,4
2/4/2021,4,4,4
2/11/2021,4,4,4
2/18/2021,4,4,4
2/25/2021,4,4,4
3/4/2021,4,4,4
3/11/2021,4,4,4
3/18/2021,4,4,4
3/25/2021,4,4,4
4/1/2021,4,4,4
4/8/2021,4,4,4
4/15/2021,4,4,4
4/22/2021,4,4,4
4/29/2021,4,4,4
5/6/2021,4,4,4
5/20/2021,4,4,4
5/27/2021,4,4,4
6/3/2021,4,4,4
6/10/2021,4,4,4
6/17/2021,4,4,4
6/24/2021,4,4,4
7/1/2021,4,4,4
7/8/2021,4,4,4
7/15/2021,4,4,4
7/29/2021,4,4,4
8/5/2021,4,4,4
8/12/2021,4,4,4
8/26/2021,4,4,4
9/2/2021,4,4,4
9/9/2021,4,4,4
2021-09-16,4.0,4.0,4.0
2021-09-23,4.0,4.0,4.0
